Coord,APHRO,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS),Var,Season,TScale
13.75_105.25,5.960464477539063e-08,2.5408693818271924,2.9570138248001316,2.9248697892797884,2.7124049799688907,,2.7368339790788494,2.675998811775092,2.7672600283092423,temp,JJASO,Day
13.75_105.75,0.0,2.546677737723639,2.978079025235697,2.8703082271129445,2.708412885393227,,2.712120418164247,2.6703640550851007,2.7546118041117085,temp,JJASO,Day
13.75_106.25,0.0,2.532920449833151,2.995475605918387,2.8793287034620576,2.7012666802126533,,2.7129691205367847,2.6624941247954172,2.7353907507200956,temp,JJASO,Day
13.75_106.75,0.0,2.529860732596777,3.0449408089708703,2.9135022459895445,2.6972249664900034,,2.7589215728360887,2.6680334052007963,2.7244687986869525,temp,JJASO,Day
13.75_107.25,0.0,2.5198674932552154,3.0454878152488276,2.9399565931871607,2.6822240038045146,,2.8052009577902086,2.692598020330656,2.712651782921186,temp,JJASO,Day
13.75_107.75,4.2146848510894035e-08,2.471500268419699,2.9584567070117798,2.870123843728366,2.659249529524368,,2.737802856340929,2.664144955595304,2.698316583323338,temp,JJASO,Day
14.25_102.25,5.960464477539063e-08,2.4272216620511444,2.9568763880336304,2.9395874860861504,2.7265867928125713,,2.769393471399381,2.788480344674987,2.820455886641637,temp,JJASO,Day
14.25_102.75,0.0,2.446638327509316,2.9834958302001233,2.9500788337788797,2.7475395190510126,,2.773754185414736,2.869244022558467,2.8315152528512515,temp,JJASO,Day
14.25_103.25,0.0,2.4657541741570403,2.9967199146645895,2.9664970690053885,2.777061989961268,,2.7591363606839545,2.8684002515242133,2.8365847201702614,temp,JJASO,Day
14.25_103.75,0.0,2.4783271296562304,3.008675913026006,2.967631233141127,2.7651847842586394,,2.731533355822897,2.7918007974256636,2.831345902163931,temp,JJASO,Day
14.25_104.25,0.0,2.496465003902321,2.999383864364405,2.9302757049468995,2.749010692507447,,2.713959916977408,2.734155941611902,2.8216805145693606,temp,JJASO,Day
14.25_104.75,4.2146848510894035e-08,2.5153189873501813,2.9730135181115354,2.943407395892756,2.755243882408492,,2.731839745487185,2.7214533237282126,2.833823846744384,temp,JJASO,Day
14.25_105.25,0.0,2.5236894578375493,3.0002448393025425,2.932902651409069,2.739846050170153,,2.7211786762400987,2.711606690696657,2.82618324825655,temp,JJASO,Day
14.25_105.75,0.0,2.5314809633599995,2.9915132107078786,2.9221495079930597,2.740913388979099,,2.7348893158448906,2.6968903724008,2.800829625997869,temp,JJASO,Day
14.25_106.25,0.0,2.53325819300737,3.0396725694877857,2.959634634353383,2.731559256586428,,2.784071832161809,2.6781998924736388,2.779653325669074,temp,JJASO,Day
14.25_106.75,0.0,0.7644056787560178,1.7909999867164943,1.7720233334081683,1.26114166827812,,1.4087315061112795,1.1571010230575012,1.3880994281237,temp,JJASO,Day
14.25_107.25,0.0,0.7293540306515623,1.7357262007502232,1.741826447408005,1.2303367191773142,,1.4598121209907229,1.1422796573014449,1.3746257214450535,temp,JJASO,Day
14.25_107.75,0.0,0.6615366651537528,1.675559634380834,1.5858668262730975,1.169681413146863,,1.3086519381642414,1.0616194158049088,1.3876432481431353,temp,JJASO,Day
14.25_108.25,2.1073424255447017e-08,0.5927141904283668,1.4591732177414112,1.4107002451316173,1.1355864640147892,,1.0552953538188803,0.9534192599741493,1.4162921693485817,temp,JJASO,Day
14.75_101.75,0.0,2.453591199431481,2.940290597073827,2.963660122569634,2.796298527153612,,2.777056953446901,2.8238519410728227,2.8676188280153823,temp,JJASO,Day
14.75_102.25,0.0,2.457734894790371,2.9743893667877614,3.001897937469731,2.7952613302330764,,2.8140657251029793,2.9583369694350483,2.8984100981939913,temp,JJASO,Day
14.75_102.75,0.0,2.4559894682447694,3.0010764524873768,3.0189582983376506,2.7871185266849983,,2.8053483224909774,2.984423048015592,2.9034548752870477,temp,JJASO,Day
14.75_103.25,0.0,2.4673006062148133,3.0192840664332192,3.0224383256281744,2.7969626989244287,,2.774953298892184,2.9271702610347172,2.899474962673809,temp,JJASO,Day
14.75_103.75,4.2146848510894035e-08,2.4766673863338506,3.0109021125469764,3.0151115996009406,2.7963449612746647,,2.7483400907474373,2.8564860603037863,2.8894854715759433,temp,JJASO,Day
14.75_104.25,0.0,2.4934934029483355,3.014993629144709,2.9935208307902954,2.792399319402303,,2.7344569920393846,2.8031542210733953,2.8856204097073475,temp,JJASO,Day
14.75_104.75,0.0,2.5021445767040205,3.012547543286965,2.969761782219171,2.7938382089750364,,2.731368208171499,2.7733141642411003,2.885701604770787,temp,JJASO,Day
14.75_105.25,0.0,2.5198298056294335,3.0393774900302533,2.9490671865840206,2.782768921212229,,2.7227288726181023,2.754986192261366,2.8765728155838004,temp,JJASO,Day
14.75_105.75,4.2146848510894035e-08,2.533462556134564,3.047726486771824,2.958972965865705,2.769394293473839,,2.7542721895712954,2.712037435801784,2.846433709222823,temp,JJASO,Day
14.75_106.25,0.0,0.7859371539358724,1.829336938077967,1.7679137803539524,1.3191047427014955,,1.3910226894685729,1.1595386611227565,1.4731224171859725,temp,JJASO,Day
14.75_106.75,0.0,0.8612741417660645,1.8032591212777223,1.7824856640405309,1.3462992835986922,,1.3470514628994132,1.2009843336539159,1.5132711926655664,temp,JJASO,Day
14.75_107.25,0.0,0.759283892297168,1.7596206985913803,1.7620037375243975,1.252012506387698,,1.3637842638647022,1.1359154709442099,1.4860050580340334,temp,JJASO,Day
14.75_107.75,2.9802322387695312e-08,0.6543163976225821,1.5505812448928962,1.476102622141647,1.1483443754847242,,1.0804788307664144,1.0120378287599692,1.5325804938743666,temp,JJASO,Day
14.75_108.25,0.0,0.5741055772576045,1.3800247283518727,1.3654192388602417,1.1476394459886816,,0.9447090594758935,0.9718048883533477,1.57735011785767,temp,JJASO,Day
15.25_101.75,0.0,2.445280331735488,3.0226494537075648,3.018491267615175,2.8175992788858126,,2.8302306156550228,2.990548410675147,2.91570853881589,temp,JJASO,Day
15.25_102.25,0.0,2.4531993679426156,3.045424895697244,3.058685777653773,2.8203795176907036,,2.851393893054285,3.085114296480218,2.963973667143279,temp,JJASO,Day
15.25_102.75,4.2146848510894035e-08,2.4679522164258083,3.0778048122572073,3.0701141016419164,2.8129469868178663,,2.829405819481689,3.0932207215830045,3.005916354534431,temp,JJASO,Day
15.25_103.25,4.2146848510894035e-08,2.476844477923816,3.0940986099601,3.0769077058501226,2.8148942281434044,,2.814214875225404,3.0242918873173004,3.0137873170740237,temp,JJASO,Day
15.25_103.75,0.0,2.4818811016287103,3.0901941968307454,3.05978248792624,2.821560933739981,,2.7899076997220873,2.945739202475244,2.9724407790293257,temp,JJASO,Day
15.25_104.25,0.0,2.4853734250193398,3.105490395618346,3.050021472754416,2.82466562943829,,2.7543354712454136,2.864981541302189,2.94575679079456,temp,JJASO,Day
15.25_104.75,4.2146848510894035e-08,2.4902830155223636,3.0932384437575213,3.0042403757632936,2.829654713605844,,2.7406779434136954,2.803203849607834,2.9213041213873505,temp,JJASO,Day
15.25_105.25,4.2146848510894035e-08,2.5035096212432113,3.07536192260383,2.977464915630844,2.8146740586391306,,2.7270345187876974,2.778955565040399,2.908671229071521,temp,JJASO,Day
15.25_105.75,0.0,0.7192174650142907,1.8141146192886808,1.7758857543485564,1.3674686086925685,,1.2939193665457323,1.2711215972182792,1.574524291335719,temp,JJASO,Day
15.25_106.25,0.0,0.7617593914117514,1.6343056928194204,1.638100284643891,1.315042225225275,,1.2824926040617919,1.1946137409033049,1.5256728243815396,temp,JJASO,Day
15.25_106.75,2.9802322387695312e-08,0.7895192923168337,1.7712380375268404,1.6802459912196264,1.295329823727357,,1.2641081832987873,1.185543362816007,1.5551277711397986,temp,JJASO,Day
15.25_107.25,0.0,0.6988766907147554,1.6962341722258412,1.615035019382555,1.194517567706209,,1.2025385672043545,1.0777782509209906,1.5967954085252607,temp,JJASO,Day
15.75_101.75,0.0,2.442249022511073,3.108693505907881,3.070854471376133,2.821883809354527,,2.827534239090312,3.0526642964061184,2.9665359337760706,temp,JJASO,Day
15.75_102.25,4.2146848510894035e-08,2.453295442319128,3.135641077995371,3.1120301124882777,2.8450595321706924,,2.8518537545282987,3.202832063470661,3.0492164166417246,temp,JJASO,Day
15.75_102.75,0.0,2.468558405038256,3.156323401379565,3.126816760569578,2.838804784745763,,2.845026635790756,3.1564659420553607,3.098787185638903,temp,JJASO,Day
15.75_103.25,0.0,2.4740400949614663,3.1787011720836613,3.1349551245996947,2.8327917056435292,,2.8265069917868955,3.057307809346962,3.0815542423665865,temp,JJASO,Day
15.75_103.75,0.0,2.4789214439867067,3.183686459048781,3.121538914416364,2.8407100697626517,,2.820116773317881,2.98328616306134,3.0309881313063904,temp,JJASO,Day
15.75_104.25,0.0,2.4762023051000894,3.18132373831297,3.0924220512784024,2.8393553267642435,,2.782501106820456,2.8823580431796207,2.9932855011349155,temp,JJASO,Day
15.75_104.75,5.960464477539063e-08,2.479886336301975,3.15433407916362,3.0407413157968133,2.8342536513011667,,2.7468069819508227,2.809207557817613,2.964215698751416,temp,JJASO,Day
15.75_105.25,0.0,0.5008309103716502,2.0135844215984937,1.7721674137021874,1.4105615969607948,,1.2442930086986903,1.3710227382397464,1.6661485913277578,temp,JJASO,Day
15.75_105.75,0.0,0.595491509200735,2.0036323510258813,1.7856692469230997,1.3533408809087137,,1.2961047714314589,1.3191757074982202,1.5995894023993376,temp,JJASO,Day
15.75_106.25,0.0,0.7068269709792009,1.9541992063862317,1.894051204485883,1.3461355272661173,,1.3571231849130765,1.3221167735990513,1.6065561545402611,temp,JJASO,Day
15.75_106.75,0.0,0.6770879485969662,1.7717208823268558,1.6990969346189329,1.268900261194837,,1.3888878389828287,1.1708810285275055,1.630842350164739,temp,JJASO,Day
16.25_101.75,0.0,2.420459765081662,3.095303945009167,3.0767922658538507,2.8040004373302567,,2.7880780255474473,3.0015914499857113,3.0083318762069284,temp,JJASO,Day
16.25_102.25,0.0,2.4572372466357977,3.19440158481041,3.1300741816878386,2.853036071432834,,2.8324357947531476,3.3005732622369064,3.146611570853279,temp,JJASO,Day
16.25_102.75,4.2146848510894035e-08,2.477137042043573,3.244094084738306,3.1755759778188,2.8629909453286695,,2.8534691677585897,3.2387677658285527,3.2076858970352355,temp,JJASO,Day
16.25_103.25,0.0,2.4764903713691675,3.2564826352181586,3.1834229682999298,2.8580906510400372,,2.849536489594119,3.1014266178444614,3.167697984679049,temp,JJASO,Day
16.25_103.75,0.0,2.4796635424511178,3.2322489110907564,3.1624895646872067,2.86288584749561,,2.8298345178330764,2.985447871236824,3.1013062115870196,temp,JJASO,Day
16.25_104.25,0.0,2.474286417265308,3.2156490509058657,3.107191327653522,2.851590299836929,,2.7911750353404305,2.8867699604722823,3.0546178112452194,temp,JJASO,Day
