Coord,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS),Var,Season,TScale
25.75_99.25,3.0239931940275264,3.2276339703398738,3.0192028602743144,-1.467806051018265,0.9452504389215692,2.426024066421726,-0.11051673392418282,152.6352449353216,preci,JJASO,Yr
25.75_99.75,1.399203332273776,1.119209032124191,4.1416246965745085,-1.8988405058205664,-0.15786858080065347,2.2341560691565623,-0.2892959230065357,117.16195579333623,preci,JJASO,Yr
26.25_99.25,2.941805961080814,6.85042277908497,2.8221823756339868,-1.9567777782549016,1.0692385014019612,3.0208075635947713,0.932561022352941,186.19958140111748,preci,JJASO,Yr
26.25_99.75,0.7245576808412126,1.987544292774516,3.7360520090163396,-2.2983444165784315,-0.20071099985294127,2.6854437956369717,0.5440771753823537,141.62037377207946,preci,JJASO,Yr
26.75_99.25,3.108462604967321,6.1030443281372575,6.3921583557239465,-1.5099608223108496,1.1505290527330068,6.672027996299117,1.24559850993464,200.16317234497438,preci,JJASO,Yr
27.25_99.25,3.350886442478733,7.347221199598369,2.7871106793660134,-1.2109911520137255,1.5509659176993467,4.304657173761438,0.32632550051307185,193.9955069842312,preci,JJASO,Yr
27.75_98.75,2.9174295313220067,11.549652400284318,5.755198530078431,-1.2081669694411767,1.5007291479901963,6.108138581176471,1.657778145098039,174.94168189776065,preci,JJASO,Yr
28.25_98.75,2.836674395888889,16.442376048163403,2.6790315728561045,-0.09102107890761446,1.7336658611764701,3.3030577173318463,4.704665381016339,136.85960220102666,preci,JJASO,Yr
28.75_98.75,2.840256068131219,8.413165224981054,0.7667291951115103,-0.4100114075215686,1.9372849307,0.7478582321865359,1.7402244048235294,126.93700363402729,preci,JJASO,Yr
29.25_98.25,2.2146551000718957,5.913766759214398,0.2321130549018826,-1.102769674604575,1.070615302894119,3.1301073363792926,0.9996135484967319,92.91375057095397,preci,JJASO,Yr
29.75_98.25,2.153330003210896,4.432334074882366,0.17154473115829028,-1.2546801429771242,0.36424215310784325,-0.037434194067780036,1.4964712322973854,72.1889762062496,preci,JJASO,Yr
30.25_97.75,1.6677304821446117,6.344776905352951,1.9173143262073464,-0.927339942709477,-0.08355432276591512,4.635001970700555,2.5385760856862745,83.98195620581171,preci,JJASO,Yr
30.25_98.25,1.7487113631814608,3.9685632432287696,3.2090364526799022,-0.5457449591666668,-0.31390365376154883,3.5333803860554247,1.2588267249999996,71.66623289573917,preci,JJASO,Yr
30.75_97.25,1.5987933352251633,2.1307023170372705,3.2761441468427126,-1.1318838260542758,-0.5388730002254899,3.446814707903598,0.7518544971895424,91.1551354070278,preci,JJASO,Yr
30.75_97.75,1.637741620839631,3.4567282565196233,2.6464251621821404,-0.952142510171902,-0.6448955436705882,1.107930309189085,0.8862692142320256,104.10280549701343,preci,JJASO,Yr
31.25_96.25,1.5270073630327345,2.4431412099019836,2.42533089337598,-1.1107306914581696,-1.0252614954006534,2.3934681673235296,0.3275682454575164,90.96645174651218,preci,JJASO,Yr
31.25_96.75,1.2186420409444447,0.8924175121470905,2.0408691036780393,-1.2825019076483009,-1.121160675859477,2.178238090065984,0.13650910664379068,77.96654764037292,preci,JJASO,Yr
31.25_97.25,1.4576748667660069,1.0453108072516581,3.092790142128301,-1.2968875123862742,-1.0437419870196079,3.5866014249130718,-0.08268939189542523,82.34066762473375,preci,JJASO,Yr
31.75_95.75,1.958202571308049,2.6667118625333526,3.6705262637288625,-0.35510712879281026,-1.163395471088378,5.728344156601307,1.9727253044941178,108.44163031706077,preci,JJASO,Yr
31.75_96.25,1.6845994548133958,1.9927237375980662,2.7410370244738886,-0.5708434938968632,-1.1937195005065362,3.099390592101307,1.082084028379085,94.84676232735907,preci,JJASO,Yr
31.75_96.75,1.2616829257590105,0.732919584931409,1.222741089525817,-0.5736064741754903,-1.153218459647059,1.3606275348862749,-0.08617191071895425,75.77535764538538,preci,JJASO,Yr
31.75_97.25,1.5859519719690032,1.1801232317647325,1.5362744749774508,-0.6124029083437575,-1.1927253209477127,2.162617262926471,0.15626712590196057,73.51607964308893,preci,JJASO,Yr
31.75_97.75,1.5300926892643072,2.5934020926274703,3.5014411150013602,-0.927461451264678,-1.276610943506535,3.651071337919281,0.6633967608441178,87.43506656308769,preci,JJASO,Yr
32.25_94.75,2.6909044321895426,0.9502665735784599,1.6519483376764705,0.08903049926471884,-1.369859287892157,2.9262806021946544,0.9820940343235294,114.430135491986,preci,JJASO,Yr
32.25_95.25,2.5614943122594083,1.619862356150346,1.662607590364706,0.16247457004395738,-1.297896643586567,-0.4931379138594769,0.6576722276895428,113.31951257866274,preci,JJASO,Yr
32.25_95.75,2.0603581449669512,1.2072824169412095,0.8063151845837733,-0.0429602560422877,-1.312461784526144,-0.10086634549019591,0.274112663398693,103.37054721853009,preci,JJASO,Yr
32.25_96.25,1.88369775569516,0.4980442306863111,2.2473092267549015,-0.2973344715831303,-1.28886382248585,0.9424949019183004,-0.09565267681699363,88.5598017823313,preci,JJASO,Yr
32.25_96.75,1.7207547384741666,1.1423165073202821,2.5863089906535945,-0.16833630109102105,-1.0980809137320264,2.6607736997712417,0.10424930852941183,79.60237119461007,preci,JJASO,Yr
32.25_97.25,1.8203410772139865,2.63762214493793,3.7724571823790845,-0.055548233266117686,-1.146773896372549,3.6731043449019607,0.7613851808071896,80.60750928417755,preci,JJASO,Yr
32.25_97.75,1.69635376874666,1.4439795861438112,1.8967258392753596,-0.5695196672372352,-1.2684694300098038,2.4567709997807192,0.4524550392209148,93.69873010900466,preci,JJASO,Yr
32.75_94.75,2.625460614658823,0.8321767338268264,0.11888765029084958,-0.192424589672747,-1.1947516685639417,0.3653912320130719,0.1599835792156865,115.61775332788054,preci,JJASO,Yr
32.75_95.25,2.5976764552520195,-0.027329186078398404,2.1997050316666664,-0.10734325726999994,-1.2053691310879409,2.942951635111111,-0.3488174886862745,118.20308125994504,preci,JJASO,Yr
32.75_95.75,2.310764306768162,0.30189250326800754,4.594811192713072,0.003028974840392218,-1.2613219345724838,6.265679532294118,0.001815652483660113,107.89652059465101,preci,JJASO,Yr
32.75_96.25,2.1192189143708235,0.5126283713660449,3.8855409265911764,-0.002862695157946016,-1.1804251027614379,3.0419358650235617,0.015959857418300638,99.97848924804812,preci,JJASO,Yr
32.75_96.75,1.872692103649951,1.6554028931732265,6.685543078117647,-0.14134477657574984,-1.1670271981143792,5.518816328010132,0.38211150434640495,95.47865387011154,preci,JJASO,Yr
33.25_94.25,2.1629889652765,0.22452982920035658,1.6735309655980388,-0.4533812903415032,-1.0520249380261437,1.5555203074192814,-0.19457225924836585,105.83852052536048,preci,JJASO,Yr
33.25_94.75,2.316838727148289,-0.13673300656533782,1.484467865261438,-0.0934007475978409,-1.0283599026516341,2.3272376337908502,-0.2331598771568626,110.07625185843322,preci,JJASO,Yr
33.25_95.25,2.353931986985716,1.0092461285490433,4.419218191062091,0.30187246928833344,-0.9982836901576797,4.049896003954248,0.027121425774509822,114.92492983713663,preci,JJASO,Yr
33.25_95.75,2.34729971852667,2.3310498231438146,5.926939144771241,0.26478340771074116,-0.9402293176699182,10.4133432729183,0.9567133439967317,114.29676728171839,preci,JJASO,Yr
9.25_105.25,0.32786448918300604,-5.098936601189534,0.3538501669281038,2.698300406372549,-1.2099848076470594,-0.1811698137908495,-0.7649583641176472,125.54347120183007,preci,JJASO,Yr
9.25_105.75,0.8523512623856209,-2.4013058592810426,-0.5458212172874175,8.330693105392157,-1.2051883987581684,1.3220162192232134,-1.5001915675163393,131.5919809311382,preci,JJASO,Yr
9.75_105.25,0.8201800300000004,-2.258436234640522,-0.3093705206320263,13.350731254094772,-0.027192826078431764,0.822932411111112,0.12292598702614477,153.76727080633987,preci,JJASO,Yr
9.75_105.75,1.4834246221241836,-3.405158249869271,0.7086559224722775,12.626382660107929,0.021469879490523258,1.045034661143792,1.35127932130719,130.9177628721663,preci,JJASO,Yr
9.75_106.25,1.8197459588562097,-2.4444626570816883,1.4983085768169944,8.533269703699347,0.3352716015359478,1.4118877493104578,0.032960614421567946,129.7782659646732,preci,JJASO,Yr
10.25_104.75,-0.4939999999999998,1.4609999999999985,0.3332499999999996,-0.9167500000000004,,0.32200000000000095,-0.2795000000000005,-0.3094999999999999,temp,All,Day
10.25_105.25,-0.5770000000000017,1.4250000000000007,0.6092499999999994,-1.4967500000000005,,0.54725,-0.6432500000000001,-0.30075000000000074,temp,All,Day
10.25_105.75,-0.5749999999999993,1.6344999999999992,0.8079999999999998,-1.6985000000000028,,0.8197499999999991,-0.39275000000000126,-0.36824999999999974,temp,All,Day
10.25_106.25,-0.593,1.5600000000000005,0.8567499999999999,-1.6765000000000008,,0.8187499999999996,-0.1092499999999994,-0.4190000000000005,temp,All,Day
10.25_106.75,-0.40700000000000003,0.9115000000000002,0.4807499999999987,-1.2175000000000011,,0.738999999999999,0.1922499999999996,-0.5579999999999998,temp,All,Day
10.75_104.75,-0.9790000000000028,1.6182499999999997,0.3457499999999989,-1.8427500000000006,,0.2312499999999993,-0.46449999999999925,-1.0180000000000007,temp,All,Day
10.75_105.25,-0.9995000000000012,1.4649999999999999,0.5307499999999994,-2.119250000000001,,0.42650000000000077,-0.7114999999999991,-0.8752499999999994,temp,All,Day
10.75_105.75,-0.7759999999999998,1.2977500000000006,0.6102499999999988,-2.112,,0.5620000000000012,-0.8252499999999987,-0.8072500000000016,temp,All,Day
11.25_104.25,-1.1479999999999997,1.3480000000000008,0.613249999999999,-2.700499999999998,,0.26699999999999946,-0.8847500000000021,-1.3170000000000002,temp,All,Day
11.25_104.75,-1.1969999999999992,1.4922500000000003,0.5999999999999996,-2.73775,,0.27500000000000036,-0.900249999999998,-1.3949999999999996,temp,All,Day
11.25_105.25,-1.0300000000000011,1.3057500000000015,0.6137500000000014,-2.6637500000000003,,0.505749999999999,-0.8230000000000022,-1.0897500000000004,temp,All,Day
11.75_104.25,-1.2720000000000002,0.8774999999999995,0.6947499999999991,-3.3819999999999997,,0.44374999999999964,-1.3719999999999999,-1.5572499999999998,temp,All,Day
