Coord,APHRO,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS),Var,Season,TScale
14.75_108.25,0.9999999999999999,0.4621272206705036,0.18366046977925823,0.14805354058389222,0.22287947976019581,0.14828396089205637,0.47434377231650415,0.2639219863772347,0.05377879700716137,preci,All,Day
15.25_101.75,1.0,0.383865119833587,0.19038808027549287,0.22457007069231452,0.1855587897533068,0.11313759664895826,0.3824509370987594,0.32762120050191734,0.12167597574587188,preci,All,Day
15.25_102.25,0.9999999999999998,0.3734476747596074,0.18653105753111157,0.21459826385915215,0.20645309505104867,0.13422016048206828,0.4017300249380546,0.2865622875238864,0.12823329491887958,preci,All,Day
15.25_102.75,1.0,0.39107933362656977,0.20310940215083817,0.2273264036239862,0.23519276336170505,0.17351050798557507,0.43603172647885,0.30089163511253464,0.1256375417061585,preci,All,Day
15.25_103.25,1.0,0.40968282929789673,0.19622874727187212,0.22818535019767314,0.24470922469520948,0.17169884397119736,0.45420803389216885,0.2964156886107221,0.13217427090423847,preci,All,Day
15.25_103.75,1.0,0.38131818871801687,0.20316608069892325,0.2106583581323415,0.23558799013598794,0.18040327844964107,0.4461150668511159,0.29948673463949727,0.14188521745597665,preci,All,Day
15.25_104.25,0.9999999999999999,0.397697773410424,0.22971662738796902,0.2309953512081452,0.24598309567125032,0.1764398513128296,0.45191757374966074,0.31912043961064496,0.1566249433697291,preci,All,Day
15.25_104.75,1.0,0.43687715287154605,0.2329486815382278,0.27739432805798214,0.24780946800621836,0.18973753209979477,0.4711114538972364,0.3517527326171799,0.20550013437465267,preci,All,Day
15.25_105.25,0.9999999999999998,0.4507235521818917,0.2453428105057293,0.33007289316313787,0.2415937874965073,0.2335648103443473,0.5068415383865756,0.40081358703837255,0.26293972994685233,preci,All,Day
15.25_105.75,1.0,0.5303933018215201,0.30845521719492386,0.3841996738321702,0.24480605863587393,0.24906767504855726,0.5925107210220187,0.4632340024049621,0.3315903929320768,preci,All,Day
15.25_106.25,1.0,0.527085992875713,0.3333415013058541,0.374860916351333,0.22874788684143635,0.24871264621189182,0.6253773606665054,0.416695026331925,0.3381379852471822,preci,All,Day
15.25_106.75,1.0,0.5051553993457434,0.26406711213342154,0.31640803968431663,0.22202047064298405,0.22095110325705508,0.6030282496307745,0.4301348523357993,0.27255270714919,preci,All,Day
15.25_107.25,0.9999999999999998,0.47967751939458464,0.2484226138337938,0.17788060752088994,0.22056553696528666,0.17794121919379158,0.508225623041172,0.3823023418047003,0.13691395234207054,preci,All,Day
15.75_101.75,0.9999999999999999,0.3905983741613386,0.19542890103841565,0.23018689136976692,0.19068428209374327,0.1367494299889879,0.36964833825405397,0.3136249765869273,0.14554088873446375,preci,All,Day
15.75_102.25,1.0,0.39050685267335444,0.20070008711898762,0.22005492842498312,0.18566791271305405,0.1380589392785106,0.3958806559888916,0.301251569829679,0.12892810753438969,preci,All,Day
15.75_102.75,1.0,0.3890232796347226,0.2202684055186187,0.2370056117647667,0.21415952423101667,0.15286726130863845,0.4280350351068732,0.31002926488286836,0.12113426179839279,preci,All,Day
15.75_103.25,0.9999999999999999,0.4151130617877598,0.2269582574411682,0.23110911040449725,0.22483167461656564,0.14140074452987036,0.4371158758328482,0.29704467440090143,0.13296192690466957,preci,All,Day
15.75_103.75,0.9999999999999999,0.4203534245217853,0.21650835269586424,0.23139724469497092,0.224428164438251,0.15348033213248055,0.4457925569254318,0.2978849179336081,0.1491696882006462,preci,All,Day
15.75_104.25,1.0,0.4469590466088311,0.22385556153545133,0.2687375445577647,0.243501662060612,0.18451244138786915,0.46220122606143965,0.3447732001440717,0.18817640050386739,preci,All,Day
15.75_104.75,1.0,0.4858681188959352,0.2541233971265691,0.3148411355150838,0.26636186061809614,0.22746602342748865,0.5088929199890648,0.3883307439317848,0.230341726490479,preci,All,Day
15.75_105.25,1.0,0.5047562521708955,0.2680075557383425,0.36497704964930666,0.25541891376555614,0.2432701971911778,0.5567089307879325,0.4205486244682378,0.2702836577566321,preci,All,Day
15.75_105.75,1.0,0.5464005525845986,0.2695078384897142,0.38283278661593373,0.23476064318050877,0.2554383597419787,0.6048766786110411,0.4536934129100499,0.3130742281521471,preci,All,Day
15.75_106.25,1.0,0.5052578522179669,0.23832196625416863,0.2743337017197761,0.1966857731783527,0.23248698809692747,0.6014569156797865,0.4114946329505137,0.2704652359301788,preci,All,Day
15.75_106.75,0.9999999999999999,0.4683529736654265,0.25598772765524236,0.20179148973888106,0.17541627239464028,0.18289145970842746,0.5412413811110298,0.3485143716815685,0.15751693671929448,preci,All,Day
16.25_101.75,0.9999999999999998,0.43044057362072846,0.23063196503805375,0.2462477161392354,0.19410894974069662,0.16259590348586858,0.39696982647064405,0.3327599651153177,0.14948364631558514,preci,All,Day
16.25_102.25,1.0,0.4145854660462929,0.20684477832411596,0.24801416930837938,0.19171164210669306,0.14358601525554962,0.4089937655990734,0.33324026394066025,0.13433865462288516,preci,All,Day
16.25_102.75,0.9999999999999999,0.35447971880605283,0.19715196262360918,0.21865281070590137,0.1952284272921973,0.1356529657926756,0.39307684658632697,0.3214808798734166,0.12037895950488285,preci,All,Day
16.25_103.25,1.0,0.40229742198368734,0.22670024085510548,0.23000185486952823,0.23650828726547998,0.1543575558364213,0.4171312334700187,0.31896426619245183,0.1357616418154473,preci,All,Day
16.25_103.75,1.0,0.43153404192996436,0.22338754160240057,0.25190519893803165,0.2674887135493979,0.17652402349932256,0.45055204049035125,0.3241912207181686,0.15717966045165432,preci,All,Day
16.25_104.25,1.0,0.49680401882485237,0.2604959106723394,0.2911117399087068,0.29893394631265285,0.21493943676782168,0.5093768361992318,0.4053241768570921,0.2073432690986127,preci,All,Day
16.25_104.75,1.0,0.5019308026879062,0.270860930639087,0.3094971265925393,0.28180548335440125,0.22821909256866102,0.5398075679790064,0.43169050192287417,0.2541221209305908,preci,All,Day
16.25_105.25,1.0,0.5364587264309021,0.2731967756796672,0.3068705855028562,0.2506955437420482,0.22226038528446823,0.5624118050327305,0.4311498591040559,0.28746110411927667,preci,All,Day
16.25_105.75,1.0,0.5513695868824544,0.23907115291439682,0.30728243750042566,0.21160046151673936,0.22049268228240299,0.5751387649886501,0.4032289497946112,0.2960472372652493,preci,All,Day
16.25_106.25,0.9999999999999998,0.5153402372178038,0.22825173545388944,0.26640194803326694,0.18357054771695736,0.19788794790524789,0.5545315174996052,0.3737954693950752,0.23616762850291992,preci,All,Day
16.25_106.75,0.9999999999999999,0.49702793220981767,0.2036892784619962,0.15499085605772275,0.18063108240208192,0.14185427471482218,0.4818731412016146,0.28205829487210854,0.10023318211219932,preci,All,Day
16.25_107.25,1.0,0.5239243095447297,0.14214853354630969,0.15846453260668233,0.2568132119322998,0.12675832346315197,0.4726021261682377,0.36143780808870285,0.0930363709708391,preci,All,Day
16.75_101.75,0.9999999999999998,0.42327264507621876,0.24333249794804232,0.2606227201229889,0.1997425399215459,0.1641707034748662,0.4176195169785479,0.34655567488934014,0.15218337405706503,preci,All,Day
16.75_102.25,1.0,0.39851296612284187,0.20244423125545027,0.26130973488631465,0.20099931462721937,0.1427122498162875,0.4027215061946752,0.35043580975699,0.15319940530165055,preci,All,Day
16.75_102.75,1.0,0.39416830304214245,0.21837960941558668,0.2414833034195438,0.23148077536751624,0.13918783102813503,0.40239669932425837,0.365821455587893,0.14018439513841083,preci,All,Day
16.75_103.25,1.0,0.43840846726101673,0.25740508189395056,0.2505820337008997,0.28776747737073033,0.1825029944234894,0.42081633172674116,0.37303470892154905,0.15654929124600983,preci,All,Day
16.75_103.75,1.0,0.4356091873581278,0.2742949023186537,0.25745814263701133,0.2979434056130558,0.20299691561215644,0.4511349922191824,0.3945777065392376,0.17787635742543276,preci,All,Day
16.75_104.25,0.9999999999999999,0.47214798820831333,0.28746085709007246,0.2771455955735662,0.2978246659475678,0.20820072399115724,0.4949465257393765,0.42740934929365454,0.20448734648513747,preci,All,Day
16.75_104.75,1.0,0.4702697120670158,0.2386557826904369,0.2576321232251774,0.2738457501915395,0.20552423919757298,0.5109923606829465,0.4091260343302309,0.2298727983812236,preci,All,Day
16.75_105.25,1.0,0.5319664883983826,0.24688433832349901,0.2667362410199205,0.26102291133896577,0.21845984179880681,0.5455796662873708,0.42021670150194357,0.2683953674528456,preci,All,Day
16.75_105.75,1.0,0.5236211873547749,0.205320692019717,0.2332948395953273,0.21208995865873373,0.19989015279489997,0.5232128181650785,0.36898461081648837,0.2401393825245925,preci,All,Day
16.75_106.25,0.9999999999999998,0.48453639753318034,0.17962494305959953,0.1518792277708785,0.18075539920872488,0.15666578451800936,0.4843249372114756,0.2896161456447171,0.13392661340271877,preci,All,Day
17.25_101.75,1.0,0.4227394448301269,0.24609659724868324,0.2440092337442176,0.1934452737056867,0.1447715516212747,0.41181101153645655,0.3395541516906842,0.14106783091655936,preci,All,Day
17.25_102.25,1.0,0.4697640807863089,0.22776654562917473,0.2596809605902644,0.25672086247751136,0.17712922496878328,0.410065193660097,0.3596433886584546,0.16488026527470515,preci,All,Day
17.25_102.75,0.9999999999999999,0.4689011563368413,0.2392312124109925,0.2721445666525437,0.2908782980120711,0.1869504650496025,0.41896018617571845,0.35004329292712016,0.14840439374777795,preci,All,Day
17.25_103.25,1.0,0.5223645519208878,0.28036179384290383,0.2779063880852614,0.32313320669820483,0.21434643875993434,0.42329679762691463,0.3851265220816764,0.15808708696330448,preci,All,Day
17.25_103.75,1.0,0.5175695950215801,0.3016547998771264,0.27760688484575685,0.320254008649204,0.21967776785884954,0.4533756493284726,0.427902486175889,0.20389393309875617,preci,All,Day
17.25_104.25,0.9999999999999998,0.5003093012880352,0.28403070390006724,0.2696786368626111,0.29128339968028827,0.2167412631273496,0.48054513966237666,0.4377562639996235,0.2577835708355583,preci,All,Day
17.25_104.75,1.0,0.5281092452922421,0.2288577091135673,0.2733086538631247,0.28229388487690604,0.23406895760990284,0.5219892007048272,0.42731536352932953,0.27791902131242846,preci,All,Day
17.25_105.25,0.9999999999999998,0.5287704949100643,0.2053541398965854,0.2628838004519175,0.26661309850080633,0.2318575566709645,0.5279847762033077,0.3840097670393198,0.2527801046933787,preci,All,Day
17.25_105.75,1.0,0.5331068675959683,0.18955584230236025,0.1803079766068566,0.22936069243140633,0.2142389960935913,0.5252960926879966,0.3544780335316358,0.1677806530417334,preci,All,Day
17.25_106.25,1.0,0.5728979804603571,0.14945654475408035,0.1448644751479079,0.23503283133713593,0.1805268979952607,0.5225062504715917,0.3309683103083205,0.1137656037344405,preci,All,Day
17.75_101.25,1.0,0.45204067550896043,0.2380643077099524,0.24460844122055259,0.23108220822343775,0.18749787890872502,0.41121923134210475,0.39881246879952625,0.1632541615379721,preci,All,Day
17.75_101.75,0.9999999999999999,0.46260576389890545,0.24338074687194955,0.22265433018926614,0.22761302003244163,0.16932622270543912,0.3949109814767449,0.3542966499998047,0.15194301839831464,preci,All,Day
17.75_102.25,1.0,0.48020619529545494,0.20801525773114113,0.2668979504169742,0.28348200728122125,0.18640664380433813,0.4365919052327521,0.32297173020713976,0.1584144646236364,preci,All,Day
17.75_102.75,1.0,0.5013117735360252,0.20973075383941156,0.2823673916461438,0.3166233829182683,0.20328651463509226,0.4468750040880176,0.34591054589755355,0.17388171336727193,preci,All,Day
17.75_103.25,0.9999999999999999,0.5703364568963114,0.26703152235942895,0.33289760367043636,0.34910652697795086,0.2497363347128191,0.4735638768559744,0.40238946050880003,0.21074821824887494,preci,All,Day
