Coord,Var,Season,TScale,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS)
14.75_102.75,preci,All,Day,1.607829742043226,0.1783097114553878,0.1593644774833737,2.676628973640901,0.6903307361974116,0.2521183488696507,0.9766697978007302,70.5207480795778
14.75_103.25,preci,All,Day,1.3984957552831274,0.0415333791621845,0.4424950848773787,2.274430747557745,0.5151971232884599,0.5414305617995783,1.6682263751060995,74.9310543856942
14.75_103.75,preci,All,Day,1.3396847898915794,0.0069183776769412,0.446214632432426,1.9866828294226533,0.4359966971457381,0.5015815908261873,1.97845571775143,81.97128106603924
14.75_104.25,preci,All,Day,1.483113712326944,0.2447149008946303,0.5286917103580682,1.945731610031972,0.3631566453568175,0.5675036940150776,2.057673135813599,88.68643176357791
14.75_104.75,preci,All,Day,1.1518971546807248,0.2351068142365884,0.4101807270432263,1.2263775175323763,0.0261477543457256,0.5300922534868668,1.5832268314627929,97.90788167395633
14.75_105.25,preci,All,Day,0.684058029884218,0.3340044555950429,0.8060712856128017,0.8228258713809565,0.4820095351413875,0.9358347654540649,1.360121079511089,122.83257362672008
14.75_105.75,preci,All,Day,0.0891505915315859,2.067277703782597,0.5451658293251422,0.9366375113453588,1.35011686244341,0.100278357256126,0.5446298944406602,174.4560448781926
14.75_106.25,preci,All,Day,0.1600644861109381,0.3566481562513713,0.0705037231594124,1.6667542138784397,1.480077833028621,0.0996643745607995,6.274446093451963,217.6312648970579
14.75_106.75,preci,All,Day,0.3343143474064724,0.1400380900052554,0.6048470207148898,0.7443705060965212,1.6057174124243885,0.8401401694826794,0.6435438257993916,210.86769753696305
14.75_107.25,preci,All,Day,0.5448126800934622,1.2949853066767252,1.5831242037250708,0.9912265962243162,1.5470766016627,2.004189469436453,1.571058660418771,152.94672009470938
14.75_107.75,preci,All,Day,0.1526189365115713,3.255066988579867,0.6207558299696405,2.40404602929912,0.7319367912931585,1.1025935356909244,0.9718764350675388,94.91337024788574
14.75_108.25,preci,All,Day,0.8669210729613159,6.65173478872819,0.1009887710820592,5.552752972964726,0.2610496028578148,0.4482676719298602,4.9180814023028745,89.09525547390862
15.25_101.75,preci,All,Day,2.1300351448555515,0.2390403056477578,0.4574616708342164,2.804753491761552,1.41092371294857,0.4702375164624178,0.4385630216349254,87.20436796530188
15.25_102.25,preci,All,Day,1.674294205812369,0.7958002582360516,0.0757639960113207,1.8896971251540475,0.9526844153126012,0.0200680822227126,0.1180766344575904,65.59855013831847
15.25_102.75,preci,All,Day,1.318368374770253,0.5063463740406318,0.5857646784343519,1.5861634707573862,0.5956255855110656,0.5604266851146,0.5474204761996502,58.10314136796436
15.25_103.25,preci,All,Day,1.2077434351038072,0.3743489656952578,0.6357776490928769,1.747798438973475,0.3394493616381779,0.5404977333033261,1.0202152291175846,62.68314044104714
15.25_103.75,preci,All,Day,1.0626107962411258,0.572756421505579,0.623007625946263,1.5126189743678873,0.1175502731733136,0.5776740956145892,1.0220032883506238,72.23110386552065
15.25_104.25,preci,All,Day,1.3182508760884997,0.3034195754923444,0.8742761905076359,1.6901440494681548,0.201134773423807,0.8365465751891581,1.5566493301346214,82.53508170495877
15.25_104.75,preci,All,Day,0.9879710544646276,0.5887100030807246,0.6323499712176945,1.062690641520768,0.169471211198441,0.5930141209759158,1.7356046296965315,97.57395059526752
15.25_105.25,preci,All,Day,0.6366605983721578,1.5660511923353615,0.0438180575362709,0.18380142861314,0.5923135141135326,0.2104882050228551,1.183322687678278,126.81910075781964
15.25_105.75,preci,All,Day,0.5774710758592572,0.2043115602355127,0.380691986224881,0.8782244145252206,1.1182522484482031,0.1625666606304364,1.2858320552975662,176.9322551461486
15.25_106.25,preci,All,Day,0.8396789657588646,4.05454599278347,2.427290834394446,0.2551891442741484,2.357123443285987,1.3863302072148012,8.807918574125084,193.42646697801493
15.25_106.75,preci,All,Day,0.2283286413977703,1.303022003603996,0.3958627194572879,0.6408979298890201,1.7280324900099553,0.8690122480082717,1.437274915887268,144.86803729006286
15.25_107.25,preci,All,Day,1.115987458517432,1.9600229684489603,3.438246437719265,0.6484983319115133,2.126504261322827,3.5233865279732117,0.3159778151400365,92.17679648834114
15.75_101.75,preci,All,Day,2.4776415153691005,0.512077343601971,0.7096977273828942,2.0392994858159743,0.9252992101300196,0.6814640241823171,0.2141377866457256,88.25289861906643
15.75_102.25,preci,All,Day,2.0404415092758823,0.6137976048603624,0.3706477625261802,1.4650146138232754,0.6495761100631839,0.4658208078135278,0.0880041673490112,59.7828862050819
15.75_102.75,preci,All,Day,1.58579252062883,0.4265595025493323,0.7098755109668454,1.3212245961360296,0.4873080315569967,0.7334383444040674,0.7058575157195467,52.739756864094645
15.75_103.25,preci,All,Day,1.352254751818906,0.2140367291867392,0.8042004543361877,1.4949314172234307,0.2099108394313315,0.8373232605261642,1.6203854876218438,61.557421893659175
15.75_103.75,preci,All,Day,1.3141073790331712,0.3842840602025592,0.8380800722848804,1.3910307593523568,0.0699567862510135,0.8485300333910327,1.6633162364828111,73.09709709819508
15.75_104.25,preci,All,Day,1.2690252130731556,0.4873516995427371,0.7211030418401845,1.2602839763846976,0.1330729625423565,0.895264030592571,1.9824781657477488,80.74300795590145
15.75_104.75,preci,All,Day,0.8783495191995252,0.5363090375007814,0.534676491979471,0.7505614504213532,0.6877087739661194,0.6900166839457696,2.594662426664056,89.48480866969349
15.75_105.25,preci,All,Day,0.6195293773688078,0.7978352656414018,1.188263794367087,0.0164081658144947,0.8839996044365597,0.8781817544085613,2.162587859848357,114.6606741355394
15.75_105.75,preci,All,Day,0.4403666616333118,1.6264719362354212,0.8472481807183325,0.9398350547996788,1.2052423868608737,0.9065503177859044,1.403205120106191,153.72755452458915
15.75_106.25,preci,All,Day,0.2574627601362601,2.1325918202160814,1.7363979269776575,0.8052570569516411,1.3889039757876218,0.3323175827716407,0.9304669788415424,149.62954058351698
15.75_106.75,preci,All,Day,0.7591508447222715,1.565152333442492,2.211657839417973,0.2334336530202533,2.3358389810413867,2.8301661148733324,1.9456299279642684,96.47143772468672
16.25_101.75,preci,All,Day,2.9488522798492878,2.062417767866429,1.1710327318573008,1.9127007554434223,0.9067528243393276,1.1247992940399163,1.9970333604888348,80.9843871553502
16.25_102.25,preci,All,Day,2.471555076050193,0.2425626459789817,1.200930656138033,1.5122962320561275,0.7626983796982716,1.312244794667398,0.2081202029683297,54.05925706458447
16.25_102.75,preci,All,Day,1.5301377173670003,0.5292463591938863,0.4804209699058446,1.118171236638445,0.2746830790180009,0.5151993757850598,0.4190350084361119,50.37869021434933
16.25_103.25,preci,All,Day,1.29349660585547,0.4462236099556773,0.5171628970361294,1.3691593029007356,0.0495018957226188,0.5513097238705179,1.1885624696153028,61.34356209494994
16.25_103.75,preci,All,Day,1.2738854637482626,0.6250106431069857,0.5478915298022693,1.4620872642620362,0.2444809865795964,0.7628579377738532,1.6735944810771677,72.86572431430147
16.25_104.25,preci,All,Day,1.1198703383931168,0.0802048367529148,0.8759107696863089,1.243255735562266,0.6266145036672207,1.0496425794453552,2.9004286726735624,75.51021591310729
16.25_104.75,preci,All,Day,0.7674498593156258,0.2738602066749078,0.9465726016142296,0.6213546902686062,1.2035860387140171,0.7758593597619186,3.0825970409277152,81.25254410593693
16.25_105.25,preci,All,Day,0.5124706809885294,0.8964019129591041,0.0137455758485099,0.2978339081411891,1.5002794895199785,0.3769144424086425,2.100490776316778,106.32038639987306
16.25_105.75,preci,All,Day,0.6477600312586189,1.522284130840035,0.3484160787177141,0.5965375635766486,1.371481685999825,0.5044691600286013,0.5350471378319592,129.73383978673726
16.25_106.25,preci,All,Day,0.2069072299776496,2.0496262918858954,0.2240913551471929,0.556094593501209,1.7345441060960924,0.7996492944828073,0.0929322068372528,103.03353587357924
16.25_106.75,preci,All,Day,0.5022120520347749,0.4494976592660626,0.698040959530685,1.009698655682984,2.065385863822983,0.3703646556518368,0.6724786578128994,78.17437463203709
16.25_107.25,preci,All,Day,0.1157952227800157,2.3872121612213366,1.353526404150306,3.5609206844362373,1.5863281218955814,1.8503810536191887,2.2158756094157286,98.78331932616088
16.75_101.75,preci,All,Day,3.2304512668375445,0.755841734156436,1.5960195927494911,1.385679269307532,0.5399068335932221,2.029722220106602,1.2350607458083511,64.54206684340573
16.75_102.25,preci,All,Day,2.593059196460458,0.7046172519426386,0.937096124344234,1.115860540757429,0.4165236125470439,0.8190378195945054,0.2440103849728171,48.59362493817056
16.75_102.75,preci,All,Day,1.749385503003025,0.19173737947119,0.4352933881835001,1.179107334218472,0.1290283946269289,0.5815524146742795,0.972886637324612,48.6662297698665
16.75_103.25,preci,All,Day,1.5437677166487789,0.0701884067919105,0.4109946529951642,1.755946916618934,0.1254491456007809,0.6627058590174211,2.5113051893415883,59.07623414452435
16.75_103.75,preci,All,Day,1.2830093842832837,0.3673089838673765,0.9372528846235348,1.875655261340196,0.4964070570725909,1.1079437688956797,3.5341742106324614,67.62529436486261
16.75_104.25,preci,All,Day,1.1330183942979568,0.7672044454172278,1.098450030683583,1.2572642017803288,0.8794628456908279,1.2147352656279853,4.39047050512055,71.36503159259392
16.75_104.75,preci,All,Day,1.1576336679032868,0.4321954180960351,0.2976939920728591,0.5970460976808551,1.086991826170732,0.8185279450529983,2.394109013294235,83.58448049012388
16.75_105.25,preci,All,Day,0.8099595145609885,0.8034630923492341,0.1978335275082562,0.0104813468280269,1.5718221821039204,0.6959184814376549,1.6840589166710984,108.1168728822484
16.75_105.75,preci,All,Day,0.4894684230447989,1.8874430982882309,0.3545804345305247,0.128885488485261,1.80206898602164,0.1253313114353597,0.361705451711728,107.92761109552774
16.75_106.25,preci,All,Day,0.6642336549031727,1.3063578894037586,0.4444341867496282,1.2431510832744486,1.321963891364605,0.0115114920719096,0.5154209880914968,76.57452634295878
17.25_101.75,preci,All,Day,3.160238124284009,0.2820421753112164,1.0067870234312175,0.818316236932301,0.1463806069983647,1.3975859101397392,0.0238090805436111,54.04196680031676
17.25_102.25,preci,All,Day,2.518809320485705,0.9047131808404908,0.3044660930635268,0.6676604877872423,0.0930026671595706,0.3612981719636447,0.4389886682835108,45.47626796949066
17.25_102.75,preci,All,Day,1.7506367095126458,0.3867917909285358,0.0562942569043981,0.6730123390208459,0.4939011489077725,0.435683018865352,1.4406785827111956,47.69065602396488
17.25_103.25,preci,All,Day,1.602081502327025,0.0285195378562504,0.2932964648511763,1.017416922381993,0.6194764820576782,0.695912807966363,2.393351889727198,56.40734636438431
17.25_103.75,preci,All,Day,1.258294365373848,0.2961254972271601,0.6867412754526019,0.8323158849407051,0.8880178768656556,1.36212531826111,3.754685355727259,64.88973584796281
17.25_104.25,preci,All,Day,0.4560435390732062,0.9247623118145144,0.2373703615747701,0.2177308956794147,1.6082787318244522,0.1976934460153249,1.6758187633664436,74.74080288392315
17.25_104.75,preci,All,Day,0.1654377101006555,2.409109515857792,0.8365698196618304,0.8681094934318382,2.1415350060151592,0.4547263741583589,0.7572515238681928,90.31018825232744
17.25_105.25,preci,All,Day,0.0323234657293931,2.743766878098692,0.942690793286536,0.6372086621103711,2.499726416937436,0.5429327772427438,1.2194158138608304,96.55058689372872
17.25_105.75,preci,All,Day,0.7588467118024951,1.4284916481420429,0.1492722844358034,0.6047247904852653,1.895780311119628,0.2824979236462552,0.1868940787601156,79.04439026971886
17.25_106.25,preci,All,Day,0.935779841785512,0.125677668956619,0.3630072548795364,2.5609477560627734,1.3761191353224886,1.799125550309817,2.738707711870855,65.11638754913267
17.75_101.25,preci,All,Day,4.09388548660939,0.045377500898181,0.3015889661221139,0.6161465681191599,0.1869956399914812,0.5004848771615263,1.357681182954822,59.71964961755669
17.75_101.75,preci,All,Day,3.1748237731403117,1.00245628036596,0.4446454193827234,0.3472305148481628,0.0374036821980969,0.1994813873242271,0.850935457867265,49.53378605378863
17.75_102.25,preci,All,Day,2.322512547061136,1.540808268309319,0.0487718606566899,0.0260829632880462,0.5674981753140961,0.3847775063060758,0.7888642352944782,47.161533326227485
17.75_102.75,preci,All,Day,1.5748292572971645,1.668674221813593,0.5878159123218375,0.1205988265947831,0.967310877800498,0.2255066962609446,0.5153688841486158,53.28590508149653
17.75_103.25,preci,All,Day,1.0318485484469797,1.363149717846044,0.2776527581653926,0.4161360996650342,1.4048797038581409,0.193986853139919,0.0012224238238059,62.77879199537998
17.75_103.75,preci,All,Day,0.4344979881155181,2.050359210777497,0.0498191422328159,0.9124642387161456,1.9119988706845712,0.5982905488335856,0.7365103744678583,75.17859676124887
17.75_104.25,preci,All,Day,1.0312076084257429,3.759481719552112,2.005862029799018,1.892170279567928,3.1775383357086406,1.4033636699531575,2.185208370730757,85.81812995475977
17.75_104.75,preci,All,Day,1.3655878165910489,3.260949497944535,2.019654059884893,2.3508715776738507,3.734963357863668,0.8073435992711877,0.0118666883325676,83.91118054248103
